ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
40682|BVF JN L ESS POUCH BLACK GWP|BVF|BVLGARI|2050000058172|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|45|Fashion Accessories|255|Fashion Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40683|BVF JN EYE MASK GWP|BVF|BVLGARI|783320406836|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40685|BVF MJNLE EDP 5ML MINI|BVF|BVLGARI|783320406850|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9070|MINIATURE|0|IDR|Y|||ID|FC00||
40686|BVF MJNLE SOLID PERFUME 1G GWP|BVF|BVLGARI|783320406867|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40688|BVF MJNLE EDP EE BIG GIFT BOX 1=3|BVF|BVLGARI|783320406881|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9030|PRINT MATERIAL|0|IDR|N|||ID|FC00||
40690|BVF MJN BATH & S/G 30ML GWP|BVF|BVLGARI|783320406904|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40691|BVF MJN B/L 30ML GWP|BVF|BVLGARI|783320406911|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9040|GWP|0|IDR|Y|||ID|FC00||
40692|BVF MJN JEWEL CHARM L.E EDP 25ML TS|BVF|BVLGARI|783320406928|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9130|NON-REGULAR TESTER|0|IDR|N|||ID|FC00||
40693|BVF MJNLE JEWEL CHARM L.E EDT 25ML TS|BVF|BVLGARI|783320406935|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9130|NON-REGULAR TESTER|0|IDR|N|||ID|FC00||
40694|BVF MJN EDP 5ML MINI|BVF|BVLGARI|783320406942|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9070|MINIATURE|0|IDR|Y|||ID|FC00||
40696|BVF MJNLE JEWEL CHARM EDP 15ML GWP|BVF|BVLGARI|783320406966|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40800|BVF MJN COUNTER TS DISPLAY|BVF|BVLGARI|783320408007|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40804|BVF MJN A4 DOUBLE SIDED DISPLAY|BVF|BVLGARI|783320408045|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40811|BVF MJN SMALL NOTEBOOK GWP|BVF|BVLGARI|783320408113|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|45|Fashion Accessories|255|Fashion Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40822|BVF MJNLE A4 DBL SIDED DISP|BVF|BVLGARI|783320408229|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
